Pincode,Place,Latitude,Longitude,District,State
732209,Gopalpur,24.8333,87.8,MALDAH,WEST BENGAL
732208,Sattari,23.833000000000002,84.4337,MALDAH,WEST BENGAL
732207,Uttar Lakshmipur,23.5134,88.3361,MALDAH,WEST BENGAL
732206,Mosimpur,25.9826,83.8575,MALDAH,WEST BENGAL
732205,Banikantatala,25.1822,87.9468,MALDAH,WEST BENGAL
732204,Mirjatpur,27.1052,79.4941,MALDAH,WEST BENGAL
732203,Uttar Chandipur,27.1971,79.2536,MALDAH,WEST BENGAL
732202,Mohana,25.903000000000002,77.7706,MALDAH,WEST BENGAL
732201,Sabdalpur,22.8464,88.5736,MALDAH,WEST BENGAL
732144,Kotwali (Malda),24.7314,84.9977,MALDAH,WEST BENGAL
732142,Bachamari,22.5244,88.1669,MALDAH,WEST BENGAL
732141,Jatradanga,24.7314,84.9977,MALDAH,WEST BENGAL
732140,Paro,26.0918,85.065,MALDAH,WEST BENGAL
732139,Gangadevi,24.8058,82.0246,MALDAH,WEST BENGAL
732138,Patul,22.7578,88.1608,MALDAH,WEST BENGAL
732128,Barkol,27.124000000000002,77.7056,MALDAH,WEST BENGAL
732127,Chamagram,24.6422,83.0817,MALDAH,WEST BENGAL
732126,Santoshpur,22.5204,88.2697,MALDAH,WEST BENGAL
732125,Pipla,21.5903,78.7353,MALDAH,WEST BENGAL
732124,Khanta,25.8496,88.0457,MALDAH,WEST BENGAL
732123,Malikan,26.1573,82.6737,MALDAH,WEST BENGAL
732122,Kotalpur,23.0119,87.5938,MALDAH,WEST BENGAL
732121,Mahadevpur,24.6422,83.0817,MALDAH,WEST BENGAL
732103,Gour,27.8833,94.1167,MALDAH,WEST BENGAL
732102,Mahakalbona,23.8679,86.8472,MALDAH,WEST BENGAL
732101,Rabindra Avenue,25.7321,89.0668,MALDAH,WEST BENGAL
731303,Tatinapara,23.9659,82.1831,BIRBHUM,WEST BENGAL
731302,Patnil,22.9111,87.5788,BIRBHUM,WEST BENGAL
731301,Mohanpur,24.6269,86.5981,BIRBHUM,WEST BENGAL
731245,Dakshingram,21.9097,87.1133,BIRBHUM,WEST BENGAL
731244,Tentulia,19.9135,85.7995,BIRBHUM,WEST BENGAL
